Sol,logS,logP,MP,InChI
-3.1371106245104836,-0.006999999999999999,0.88,-99.0,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
-9.05638390878993,-3.205,3.69,17.5,"InChI=1S/C12H17O4PS2/c1-4-16-12(13)11(10-8-6-5-7-9-10)19-17(18,14-2)15-3/h5-9,11H,4H2,1-3H3"
2.5050899696528792,-3.958,3.9,-95.3,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
-4.270419083975438,-3.553,4.42,28.531875,"InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)"
-1.469229823309544,-1.46,1.95,-103.9425,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3"
-4.64904962156078,-1.28,1.66,-57.0,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3"
-9.464725947175554,0.272,-0.21,114.8,"InChI=1S/C4H9NO/c1-2-3-4(5)6/h2-3H2,1H3,(H2,5,6)"
-6.996422271517052,-6.34,4.69,68.0,"InChI=1S/C14H17ClNO4PS2/c1-3-19-21(22,20-4-2)23-12(9-15)16-13(17)10-7-5-6-8-11(10)14(16)18/h5-8,12H,3-4,9H2,1-2H3"
-2.4918164252703585,-4.756,4.38,82.0,"InChI=1S/C12H12/c1-9-5-3-8-12-10(2)6-4-7-11(9)12/h3-8H,1-2H3"
-3.5363974917571515,-0.15,0.66,-74.0,"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3"
1.83,-2.0353455015,1.81,-182.8,InChI=1S/C2H6/c1-2/h1-2H3
1.2901869709097362,-0.4000000000000001,1.13,-169.035,InChI=1S/C2H4/c1-2/h1-2H2
-3.860851202245765,1.136,0.4,-72.65,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3"
1.671751019044728,-3.7319999999999998,3.99,-119.7,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3"
2.884307215945736,-5.2379999999999995,5.18,-56.8,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
-7.793765264415457,-4.132,4.44,31.5,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-12-9-13-10-7-5-6-8-11(10)14-12/h5-9H,3-4H2,1-2H3"
-9.455327814871147,-3.181,3.41,127.0,"InChI=1S/C12H11N3/c13-10-6-8-12(9-7-10)15-14-11-4-2-1-3-5-11/h1-9H,13H2/b15-14+"
-9.165347761594637,-3.239,3.1,123.5,"InChI=1S/C10H19N5O/c1-6-11-7-12-8(15-10(2,3)4)14-9(13-7)16-5/h6H2,1-5H3,(H2,11,12,13,14,15)"
-2.6620013740406536,-1.141,1.78,-78.0,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
-5.769761698568129,-5.235,4.59,50.4575,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H"
-0.3267333251650587,-4.056,4.38,-87.94,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3"
-7.183976303157147,-5.0169999999999995,4.78,36.0,"InChI=1S/C14H14NO4PS/c1-2-18-20(21,14-6-4-3-5-7-14)19-13-10-8-12(9-11-13)15(16)17/h3-11H,2H2,1H3"
-4.094327140258652,-6.08,3.83,106.0,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2"
-6.552939390601919,0.0,0.72,72.0,"InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)"
