SMILES,InChI,HL,Sol,RB,MW
CC(F)F,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",0.0203,-0.110445144,0,66.02810657
O=C(Cl)Cl,InChI=1S/CCl2O/c2-1(3)4,0.0167,-0.225939804,0,97.93261998
FC(F)Cl,InChI=1S/CHClF2/c2-1(3)4/h1H,0.0406,0.29964609,0,85.97348415
FC(F)F,InChI=1S/CHF3/c2-1(3)4/h1H,0.0952,0.803845817,0,70.00303469
CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,0.000104,-3.230727796,0,59.07349929
C[N+]([O-])=O,InChI=1S/CH3NO2/c1-2(3)4/h1H3,2.86E-05,-3.994521273,0,61.01637834
FC(F)(F)Br,"InChI=1S/CBrF3/c2-1(3,4)5",0.499,1.783966464,0,147.9135468
CC(C)(C)O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",9.05E-06,-4.675283158,0,74.07316494
CC(F)(F)Cl,"InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3",0.0588,0.518772775,0,99.98913422
FC(Cl)(Cl)Cl,"InChI=1S/CCl3F/c2-1(3,4)5",0.097,0.814927783,0,135.9049613
FC(F)(Cl)Cl,"InChI=1S/CCl2F2/c2-1(3,4)5",0.343,1.562176314,0,119.9345118
FC(F)(F)Cl,"InChI=1S/CClF3/c2-1(3,4)5",1.38,2.385798538,0,103.9640623
FC(F)(F)F,"InChI=1S/CF4/c2-1(3,4)5",5.15,3.16493258,0,87.99361288
CCC(C)(C)O,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",1.38E-05,-4.425669412,1,88.088815
O=CC(Cl)(Cl)Cl,"InChI=1S/C2HCl3O/c3-2(4,5)1-6/h1H",2.91E-09,-9.43344171,0,145.9092977
OCC(F)(F)F,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",1.73E-05,-4.291937115,0,100.0135994
OC(=O)C(Br)(Br)Br,"InChI=1S/C2HBr3O2/c3-2(4,5)1(6)7/h(H,6,7)",3.34E-09,-9.3519037,0,293.7526656
CC(C)(C)C(O)=O,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)",2.78E-06,-5.373600006,0,102.0680796
O=C(Cl)C(Cl)(Cl)Cl,"InChI=1S/C2Cl4O/c3-1(7)2(4,5)6",0.000507,-2.293504381,0,179.8703253
OC(=O)C(Cl)(Cl)Cl,"InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)",1.35E-08,-8.525553708,0,161.9042123
OC(=O)C(F)(F)Cl,"InChI=1S/C2HClF2O2/c3-2(4,5)1(6)7/h(H,6,7)",4.10E-08,-7.868315045,1,129.9633134
OC(=O)C(F)(F)F,"InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)",1.11E-07,-7.279069771,0,113.9928639
[O-][N+](=O)C(Cl)(Cl)Cl,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7",0.00205,-1.466938328,0,162.8994613
FC(F)(F)C(F)(F)F,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8",20.3,3.976435626,0,137.9904193
OCC(F)(F)C(F)F,"InChI=1S/C3H4F4O/c4-2(5)3(6,7)1-8/h2,8H,1H2",6.29E-06,-4.89052273,2,132.0198276
COC(F)(F)C(Cl)Cl,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3",0.0037,-1.117581048,2,163.9607265
ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",0.000294,-2.615905639,0,369.8210939
ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,"InChI=1S/C5Cl6/c6-1-2(7)4(9)5(10,11)3(1)8",0.027,0.058299066,0,269.8131161
CCOP(=O)(OCC)OCC,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",3.60E-08,-7.945259234,6,182.0707956
CCCCSP(=O)(SCCCC)SCCCC,"InChI=1S/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3",2.94E-07,-6.702786409,12,314.0961651
CC(C)=CCCC(C)(O)C=C,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",2.15E-05,-4.163347012,4,154.1357652
CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",9.78E-06,-4.629387111,1,74.07316494
CC(=C)C=O,"InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3",0.000232,-2.756030266,1,70.04186481
CCC(C)Cl,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",0.0241,-0.008925657,1,92.03927797
CC(Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",0.00282,-1.278267141,1,111.9846556
CCC(C)O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",9.06E-06,-4.674629776,1,74.07316494
CCC(C)=O,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",5.69E-05,-3.587541195,1,72.05751488
CC(=O)C=C,"InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3",4.65E-05,-3.706958916,1,70.04186481
CC(=O)CCl,"InChI=1S/C3H5ClO/c1-3(5)2-4/h2H2,1H3",1.65E-05,-4.319948812,1,92.00289246
CC(=O)C=O,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",2.70E-07,-6.753168884,1,72.02112937
ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",0.000824,-2.006170436,1,131.9300331
ClC=C(Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,0.00985,-0.538286806,0,129.9143831
OC(=O)CBr,"InChI=1S/C2H3BrO2/c3-1-2(4)5/h1H2,(H,4,5)",6.52E-09,-8.956155875,1,137.9316414
CCC(O)=O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",4.45E-07,-6.457556288,1,74.03677943
OC(=O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",9.26E-09,-8.748592204,1,93.98215702
COC(C)=O,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,0.000115,-3.171243926,0,74.03677943
CC(=O)OO,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3",2.14E-06,-5.528398819,0,76.01604399
CC[N+]([O-])=O,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",4.76E-05,-3.693126187,1,75.0320284
CC(C)C(O)=O,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)",8.85E-07,-6.050798227,1,88.0524295
ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,0.000367,-2.484691245,1,165.8910608
CC(=C)C(O)=O,"InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)",3.88E-07,-6.53865129,1,86.03677943
OC(=O)C(Cl)Cl,"InChI=1S/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)",8.38E-09,-8.807670746,1,127.9431847
