SMILES,InChI,HL,Sol,RB,MW
Cc1ccc(C)cc1,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",0.0069,-0.748879876,0,106.0782503
Cc1ccc(O)cc1,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",1.00E-06,-5.978519385,0,108.0575149
Clc1ccc(Cl)cc1,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,0.00241,-1.371219247,0,145.9690055
Cc1ccc(N)cc1,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",2.02E-06,-5.562541172,0,107.0734993
CCCCCC(=O)OC,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3",0.000367,-2.484691245,4,130.0993797
BrCCBr,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,0.00065,-2.14650555,1,185.8679743
C#CCBr,"InChI=1S/C3H3Br/c1-2-3-4/h1H,3H2",0.00113,-1.819330192,0,117.9418122
CCC=C,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",0.233,1.333395181,1,56.06260026
C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",0.000122,-3.136284761,1,56.02621475
CCCS,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",0.00408,-1.059740189,1,76.03467126
ClCCBr,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,0.000909,-1.948086771,1,141.9184899
ClCCCl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,0.00118,-1.793714217,1,97.96900549
CCCN,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",1.48E-05,-4.384279351,1,59.07349929
CCC#N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",3.70E-05,-3.842168228,0,55.04219916
C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",0.000138,-3.063375822,0,53.0265491
NCCN,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,1.73E-09,-9.741111475,1,60.06874826
C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",4.99E-06,-5.027501486,1,58.04186481
OCCO,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",6.00E-08,-7.643036105,1,62.03677943
O=CC=O,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,3.33E-09,-9.353677725,1,58.0054793
COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",0.000223,-2.779438723,1,60.02112937
CC(C)CCBr,"InChI=1S/C5H11Br/c1-5(2)3-4-6/h5H,3-4H2,1-2H3",0.0346,0.205034889,2,150.0044125
CCCC(C)=O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",8.36E-05,-3.359910095,2,86.07316494
CCCC(O)=O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",5.35E-07,-6.348581286,2,88.0524295
COCC(C)O,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",9.20E-07,-6.027850996,2,90.06807956
CCC[N+]([O-])=O,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",8.70E-05,-3.336324739,2,89.04767846
CC(C)CC(C)N,"InChI=1S/C6H15N/c1-5(2)4-6(3)7/h5-6H,4,7H2,1-3H3",3.12E-05,-3.943042159,2,101.1204495
CC(C)CC(C)O,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",4.45E-05,-3.732969108,2,102.1044651
CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",0.00256,-1.335495927,2,102.1044651
CC(C)OC(C)=O,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",0.000278,-2.649012826,1,102.0680796
Cc1cc(C)ccc1,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",0.00718,-0.725345772,0,106.0782503
Cc1cc(O)ccc1,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",8.56E-07,-6.070509943,0,108.0575149
Nc1cc(Cl)ccc1,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2",1.00E-06,-5.978519385,0,127.0188769
Oc1cc(Cl)ccc1,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",3.45E-07,-6.608145469,0,128.0028925
Cc1cc(N)ccc1,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3",1.66E-06,-5.678667548,0,107.0734993
Cc1cc(C)[n]cc1,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",6.74E-06,-4.84964132,0,107.0734993
Cc1cccc(C)[n]1,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",1.04E-05,-4.593021386,0,107.0734993
Cc1cc(C)cc(C)c1,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",0.00877,-0.606996314,0,120.0939004
Cc1cc(O)cc(C)c1,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",6.14E-07,-6.267096255,0,122.0731649
Clc1cc(Cl)cc(Cl)c1,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,0.00189,-1.515016471,0,179.9300331
Brc1ccccc1,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,0.00247,-1.356670073,0,155.9574623
CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",0.43,1.695918582,0,98.10955045
Cc1ccccc1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.00664,-0.771604311,0,92.06260026
Cc1cc[n]cc1,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",6.00E-06,-4.918448925,0,93.05784922
Clc1ccccc1,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,0.00311,-1.220354296,0,112.0079778
NC1CCCCC1,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",4.16E-06,-5.135132509,0,99.10479942
OC1CCCCC1,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",4.40E-06,-5.101947928,0,100.088815
O=C1CCCCC1,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,9.00E-06,-4.678560931,0,98.07316494
Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",3.33E-07,-6.629090545,0,94.04186481
Cc1c[n]ccc1,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",7.73E-06,-4.768558154,0,93.05784922
Cc1cccc[n]1,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",9.96E-06,-4.618597087,0,93.05784922
Cc1c[n]cc[n]1,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",2.20E-06,-5.512039162,0,94.05309819
CCCCC(O)=O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",4.72E-07,-6.42270611,3,102.0680796
CC(C)OCCO,"InChI=1S/C5H12O2/c1-5(2)7-4-3-6/h5-6H,3-4H2,1-2H3",9.20E-07,-6.027850996,3,104.0837296
CCCOC(C)=O,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",0.000218,-2.792855093,2,102.0680796
BrCCCBr,InChI=1S/C3H6Br2/c4-2-1-3-5/h1-3H2,0.000888,-1.961915301,2,199.8836244
CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",1.25,2.327262045,2,72.09390038
CCCCCl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",0.0167,-0.225939804,2,92.03927797
CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",1.74E-05,-4.288527096,2,73.08914935
CCCC#N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",5.23E-05,-3.63741555,1,69.05784922
CCCCS,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",0.00454,-0.996535638,2,90.05032132
COCCO,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",3.30E-07,-6.634444758,2,76.0524295
COCOC,"InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3",0.000173,-2.929643525,2,76.0524295
CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",2.55E-05,-4.062398713,2,73.08914935
CCOC=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",0.000385,-2.456362806,2,74.03677943
c1ccc[nH]1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,1.80E-05,-4.268469698,0,67.04219916
C1CCCO1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,7.05E-05,-3.460743198,0,72.05751488
c1ccc[s]1,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,0.00227,-1.406626872,0,84.00337113
CC(C)COC(C)=O,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",0.000454,-2.358829228,2,116.0837296
CCCCCC(C)=O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",0.000169,-2.943483608,4,114.1044651
CC(C)CCOC=O,"InChI=1S/C6H12O2/c1-6(2)3-4-8-5-7/h5-6H,3-4H2,1-2H3",0.000674,-2.12505414,4,116.0837296
ClCCCCCl,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,0.000486,-2.318532017,3,126.0003056
CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",2.43E-05,-4.09091684,3,87.10479942
CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",0.000147,-3.025996872,3,86.07316494
CCOCCO,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",4.70E-07,-6.425218371,3,90.06807956
CCSSCC,"InChI=1S/C4H10S2/c1-3-5-6-4-2/h3-4H2,1-2H3",0.00215,-1.438759832,3,122.0223923
C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,0.15,1.072836558,0,84.09390038
C1CCCC=C1,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",0.0455,0.367059683,0,82.07825032
c1cccc[n]1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,1.10E-05,-4.559836805,0,79.04219916
C1CCCCN1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",4.45E-06,-5.095262698,0,85.08914935
CCCCCCCC(=O)OC,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3",0.000783,-2.036366286,6,158.1306798
CCCCCCC(C)=O,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",0.000188,-2.880448724,5,128.1201151
CCOCCOC(C)=O,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",3.20E-06,-5.290356808,4,132.0786442
CCCCCCN,"InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3",2.68E-05,-4.032980509,4,101.1204495
CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",1.71E-05,-4.298816687,4,102.1044651
CCCOCCC,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",0.0022,-1.425158392,4,102.1044651
CCCSCCC,"InChI=1S/C6H14S/c1-3-5-7-6-4-2/h3-6H2,1-2H3",0.00324,-1.19612642,4,118.0816214
C1CCCCCN1,"InChI=1S/C6H13N/c1-2-4-6-7-5-3-1/h7H,1-6H2",6.14E-06,-4.904802665,0,99.10479942
CCCCCCCO,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",1.88E-05,-4.242742314,5,116.1201151
CCCCCCC=O,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",0.00027,-2.666288114,5,114.1044651
CCCCOCCO,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",1.60E-06,-5.700448041,5,118.0993797
CCCCCCCCO,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",2.45E-05,-4.086067333,6,130.1357652
CCCCNCCCC,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",8.90E-05,-3.322877875,6,129.1517496
CCCCOCCOC(C)=O,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",5.46E-06,-4.974246573,6,160.1099444
CCCCCCCCCC(C)=O,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",6.36E-05,-3.521681316,8,170.1670653
CCCCCCCCCCO,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",3.20E-05,-3.928063218,8,158.1670653
CCCCCCCCCC=O,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3",0.0018,-1.543882518,8,156.1514153
CCCCOCCOCCO,"InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3",7.20E-09,-8.897461591,8,162.1255944
CCCCCCCCCCCCO,"InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3",2.22E-05,-4.144391358,10,186.1983655
CC=C,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",0.196,1.231087138,0,42.04695019
CC(C)=C,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",0.218,1.294025677,0,56.06260026
CC(C)(O)C=C,"InChI=1S/C5H10O/c1-4-5(2,3)6/h4,6H,1H2,2-3H3",2.08E-05,-4.182930153,1,86.07316494
CC(C)(O)C#C,"InChI=1S/C5H8O/c1-4-5(2,3)6/h1,6H,2-3H3",3.91E-06,-5.171800784,0,84.05751488
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2",2.42E-05,-4.09432714,0,403.8168811
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,0.0017,-1.577699527,0,281.8131161
Cc1cc(c(O)cc1)[N+]([O-])=O,"InChI=1S/C7H7NO3/c1-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3",1.48E-05,-4.384279351,1,153.0425931
c1c2ccccc2cc2ccccc21,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,5.56E-05,-3.601215182,0,178.0782503
Clc1cc(Cl)c(Cl)cc1,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,0.00142,-1.68417718,0,179.9300331
O=C1CCCC1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,1.00E-05,-4.616225795,0,84.05751488
CN1CCCC1,"InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",3.01E-05,-3.964277726,0,85.08914935
Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,"InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3",5.40E-08,-7.705371241,2,182.0327567
CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",0.000149,-3.018001662,3,101.1204495
[O-][N+](=O)c1cccc(Cl)c1,InChI=1S/C6H4ClNO2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,1.35E-05,-4.438672938,1,156.993056
CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,"InChI=1S/C10H19O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8H,5-7H2,1-4H3",4.89E-09,-9.126359115,9,330.036067
Nc1ccc(cc1Cl)[N+]([O-])=O,"InChI=1S/C6H5ClN2O2/c7-5-3-4(9(10)11)1-2-6(5)8/h1-3H,8H2",9.54E-09,-8.730967683,1,172.0039551
Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,"InChI=1S/C9H12NO5PS/c1-7-6-8(4-5-9(7)10(11)12)15-16(17,13-2)14-3/h4-6H,1-3H3",9.30E-07,-6.021454862,5,277.0173801
OCCCc1ccccc1,"InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2",2.03E-07,-6.921913094,3,136.088815
CCc1ccc(O)cc1,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",7.73E-07,-6.130851744,1,122.0731649
Oc1ccc(C=O)cc1,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",5.11E-10,-10.46261649,1,122.0367794
CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",7.34E-05,-3.436893602,1,58.04186481
CC(C)CCO,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",1.41E-05,-4.412945554,2,88.088815
CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",0.000115,-3.171243926,2,72.05751488
C/C=C/C=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+",1.45E-05,-4.394765346,1,70.04186481
C1CCCN1,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",2.39E-06,-5.46303035,0,71.07349929
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,"InChI=1S/C22H42O4/c1-3-5-7-9-11-15-19-25-21(23)17-13-14-18-22(24)26-20-16-12-10-8-6-4-2/h3-20H2,1-2H3",4.34E-07,-6.472364803,19,370.3083098
CCCCOC(C)=O,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",0.000281,-2.642662462,3,116.0837296
C1COCCO1,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,4.80E-06,-5.050468814,0,88.0524295
CC(C)CCOC(C)=O,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3",0.000587,-2.206821447,3,130.0993797
CCCCCCC(C)O,"InChI=1S/C8H18O/c1-3-4-5-6-7-8(2)9/h8-9H,3-7H2,1-2H3",0.000123,-3.131455048,5,130.1357652
CCCCCCCC=O,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",0.000514,-2.285391705,6,128.1201151
CCCCCCCCC=O,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",0.000734,-2.074600012,7,142.1357652
CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",1.77E-05,-4.278413404,0,45.05784922
ClC(Br)Br,InChI=1S/CHBr2Cl/c2-1(3)4/h1H,0.000783,-2.036366286,0,205.8133519
FC(Br)C(F)(F)F,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H",0.0573,0.503484157,0,179.919775
CC(=O)C(O)=O,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",3.23E-09,-9.371716823,1,88.01604399
ClC(Cl)=C(Cl)Cl,InChI=1S/C2Cl4/c3-1(4)2(5)6,0.0177,-0.191532634,0,163.8754107
CC(=O)N(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,1.31E-08,-8.543348631,0,87.06841391
c1cc2cccc3ccc4cccc1c4c32,InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H,1.19E-05,-4.513308654,0,202.0782503
Nc1cccc2ccccc21,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",1.11E-07,-7.279069771,0,143.0734993
Oc1cc2ccccc2cc1,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",2.74E-08,-8.106761779,0,144.0575149
Cc1cc(N)c(C)cc1C,"InChI=1S/C9H13N/c1-6-4-8(3)9(10)5-7(6)2/h4-5H,10H2,1-3H3",2.48E-06,-5.441160389,0,135.1047994
CCC(C)CO,"InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",1.41E-05,-4.412945554,2,88.088815
OCC=O,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",2.42E-08,-8.180237352,1,60.02112937
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,"InChI=1S/C8H16NO5P/c1-7(6-8(10)9(2)3)14-15(11,12-4)13-5/h6H,1-5H3/b7-6+",5.03E-11,-11.83424577,5,237.0766092
CCOC(C)=O,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",0.000134,-3.080778153,1,88.0524295
ClCCCCl,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,0.000976,-1.906011061,2,111.9846556
CCCCCC(O)=O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",7.58E-07,-6.142445255,4,116.0837296
C1CCCCO1,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,0.000125,-3.121912315,0,86.07316494
C/C=C/C=C/C=O,"InChI=1S/C6H8O/c1-2-3-4-5-6-7/h2-6H,1H3/b3-2+,5-4+",9.78E-06,-4.629387111,2,96.05751488
CCCNCCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",5.10E-05,-3.65230748,4,101.1204495
CCCCCCOC(C)=O,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",0.00053,-2.26725583,5,144.1150298
CCCCOCCCC,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",0.006,-0.831568155,6,130.1357652
OC(=O)CF,"InChI=1S/C2H3FO2/c3-1-2(4)5/h1H2,(H,4,5)",1.24E-08,-8.575838802,1,78.01170756
OC(=O)C(O)=O,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",1.43E-10,-11.21608046,0,89.99530854
COc1cccc(O)c1,"InChI=1S/C7H8O2/c1-9-7-4-2-3-6(8)5-7/h2-5,8H,1H3",5.80E-08,-7.663093503,1,124.0524295
FC(F)(F)C(Cl)Br,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H",0.0203,-0.110445144,0,195.8902245
Cl/C=C\Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,0.00673,-0.763639001,0,95.95335542
c1cc2ccc3cccc4c3c2c2c3c4cccc3ccc21,InChI=1S/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H,3.31E-07,-6.632654631,0,276.0939004
c1c2c3c4c5c1cccc5ccc4ccc3-c1ccccc1-2,InChI=1S/C22H12/c1-2-7-17-16(6-1)18-11-10-14-9-8-13-4-3-5-15-12-19(17)22(18)21(14)20(13)15/h1-12H,3.48E-07,-6.603023042,0,276.0939004
c1c2c3c(cccc3-c3ccccc3-2)c2ccccc21,InChI=1S/C20H12/c1-2-7-14-13(6-1)12-19-16-9-4-3-8-15(16)18-11-5-10-17(14)20(18)19/h1-12H,6.57E-07,-6.227048913,0,252.0939004
c1ccc2c3c(cccc31)-c1ccccc1-2,InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,8.86E-06,-4.687836499,0,202.0782503
c1c2-c3cccc4cccc(c43)-c2cc2ccccc21,InChI=1S/C20H12/c1-2-6-15-12-19-17-10-4-8-13-7-3-9-16(20(13)17)18(19)11-14(15)5-1/h1-12H,5.84E-07,-6.296733666,0,252.0939004
c1ccc2C=Cc3cccc1c32,InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H,0.000114,-3.176411091,0,152.0626003
c1cc2c3ccccc3ccc2c2ccccc21,InChI=1S/C18H12/c1-3-7-15-13(5-1)9-11-18-16-8-4-2-6-14(16)10-12-17(15)18/h1-12H,5.23E-06,-4.99970914,0,228.0939004
C1c2c3ccccc3ccc2-c2ccccc21,"InChI=1S/C17H12/c1-3-7-14-12(5-1)9-10-16-15-8-4-2-6-13(15)11-17(14)16/h1-10H,11H2",2.66E-05,-4.037412265,0,216.0939004
C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,0.152,1.080672919,0,70.07825032
COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC,"InChI=1S/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3",1.00E-07,-7.340812975,5,263.0017301
FC(F)(F)C(Cl)Cl,"InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H",0.0256,0.026797663,0,151.9407401
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|","InChI=1S/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2/t4-,5+,6+,7-,10+,11-",4.40E-05,-3.739654338,0,361.8757163
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",1.13E-07,-7.268504552,7,304.1010502
CC(=O)c1ccc[n]c1,"InChI=1S/C7H7NO/c1-6(9)7-3-2-4-8-5-7/h2-5H,1H3",2.13E-08,-8.255757136,1,121.0527638
CCSCC,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",0.00168,-1.584701225,2,90.05032132
O=C(F)F,InChI=1S/CF2O/c2-1(3)4,0.001,-1.891638615,0,65.99172106
O=C(Cl)C(F)(F)F,"InChI=1S/C2ClF3O/c3-1(7)2(4,5)6",0.00045,-2.364064985,0,131.958977
O=C(F)C(F)(F)F,"InChI=1S/C2F4O/c3-1(7)2(4,5)6",0.000333,-2.542209775,0,115.9885275
Oc1ccccc1F,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H",3.22E-06,-5.286670586,0,112.032443
Oc1ccc(F)cc1,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H",7.05E-07,-6.185330378,0,112.032443
C[C@H](O)C(F)(F)F,"InChI=1S/C3H5F3O/c1-2(7)3(4,5)6/h2,7H,1H3/t2-/m0/s1",2.18E-05,-4.155148683,0,114.0292494
