SMILES,InChI,LogS,LogVP,Sol,RB,MW
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,"InChI=1S/C11H16ClO2PS3/c1-3-13-15(16,14-4-2)18-9-17-11-7-5-10(12)6-8-11/h5-8H,3-4,9H2,1-2H3",-5.736,-6.5229,-6.886504985000313,8,341.973857062
CC(C)(CC)c1ccc(O)cc1,"InChI=1S/C11H16O/c1-4-11(2,3)9-5-7-10(12)8-6-9/h5-8,12H,4H2,1-3H3",-2.99,-2.699,-5.418353273272967,2,164.120115132
CS(=O)c1ccc(cc1)OP(=S)(OCC)OCC,"InChI=1S/C11H17O4PS2/c1-4-13-16(17,14-5-2)15-10-6-8-11(9-7-10)18(3)12/h6-9H,4-5H2,1-3H3",-2.188,-4.301,-8.692717050054243,7,308.030587654
Cc1[n]c([n]c(OC(=O)N(C)C)c1C)N(C)C,InChI=1S/C11H18N4O2/c1-7-8(2)12-10(14(3)4)13-9(7)17-11(16)15(5)6/h1-6H3,-1.946,-5.1379,-10.162230809941647,2,238.142975816
Cc1[n]c(NCC)[n]c(O)c1CCCC,"InChI=1S/C11H19N3O/c1-4-6-7-9-8(3)13-11(12-5-2)14-10(9)15/h4-7H2,1-3H3,(H2,12,13,14,15)",-3.02,-5.699,-9.463636308647507,5,209.152812228
Cc1[n]c([n]c(O)c1CCCC)N(C)C,"InChI=1S/C11H19N3O/c1-5-6-7-9-8(2)12-11(14(3)4)13-10(9)15/h5-7H2,1-4H3,(H,12,13,15)",-2.242,-4.9586,-9.514849319465716,4,209.152812228
Cc1cc([n]c([n]1)N(CC)CC)OP(=S)(OC)OC,"InChI=1S/C11H20N3O3PS/c1-6-14(7-2)11-12-9(3)8-10(13-11)17-18(19,15-4)16-5/h8H,6-7H2,1-5H3",-4.133,-4.8239,-6.75574836163467,7,305.09629913
C=CCCCCCCCCC(O)=O,"InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)",-3.398,-3.0283,-5.311160083076339,9,184.14632988
CCOC(=O)CCCCCC(=O)OCC,"InChI=1S/C11H20O4/c1-3-14-10(12)8-6-5-7-9-11(13)15-4-2/h3-9H2,1-2H3",-2.013,-2.5086,-6.489740355975194,8,216.13615912
COCCCNc1[n]c([n]c(NC(C)C)[n]1)SC,"InChI=1S/C11H21N5OS/c1-8(2)13-10-14-9(12-6-5-7-17-3)15-11(16-10)18-4/h8H,5-7H2,1-4H3,(H2,12,13,14,15,16)",-2.928,-6.5452,-10.741509892414642,8,271.146681292
CC(C)C(C)Nc1[n]c(NCC)[n]c([n]1)SC,"InChI=1S/C11H21N5S/c1-6-12-9-14-10(13-8(4)7(2)3)16-11(15-9)17-5/h7-8H,6H2,1-5H3,(H2,12,13,14,15,16)",-3.708,-5.8539,-8.737528434520176,6,255.15176667199998
CCSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,"InChI=1S/C11H21N5S/c1-6-17-11-15-9(12-7(2)3)14-10(16-11)13-8(4)5/h7-8H,6H2,1-5H3,(H2,12,13,14,15,16)",-4.203,-5.7959,-7.984315802007677,6,255.15176667199998
CCCCCCCCCCC(O)=O,"InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)",-3.553,-2.4192,-4.270419083975437,9,186.161979944
CCCCCCCCCC(=O)OC,"InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3",-4.627,-1.4318,-1.4626930068302917,8,186.161979944
CCCCCCCCCC(C)O,"InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11(2)12/h11-12H,3-10H2,1-2H3",-2.94,-1.4763,-3.821079395972049,8,172.182715388
OC(=O)c1cc2ccccc2cc1,"InChI=1S/C11H8O2/c12-11(13)10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,(H,12,13)",-3.564,-5.1782,-8.01332742781693,1,172.052429496
O=C(Nc1cc(Cl)ccc1)OCC#CCCl,"InChI=1S/C11H9Cl2NO2/c12-6-1-2-7-16-11(15)14-10-5-3-4-9(13)8-10/h3-5,8H,6-7H2,(H,14,15)",-4.37,-6.4202,-8.607180425602554,2,257.001033888
Clc1c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,-10.827,-6.9731,-0.5655118837995815,1,493.6885268
Clc1c2Oc3c(Oc2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,InChI=1S/C12Cl8O2/c13-1-2(14)6(18)10-9(5(1)17)21-11-7(19)3(15)4(16)8(20)12(11)22-10,-12.06,-12.0835,-5.846717419611448,0,455.74065068
c1ccccc1-c1ccccc1,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,-4.347,-2.0491,-2.6848588208510242,1,154.07825032
C1Cc2cccc3cccc1c23,"InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2",-4.597,-2.6676,-3.186773567832681,0,154.07825032
c1ccccc1N=Nc1ccccc1,InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H,-4.454,-3.4425,-4.436997573950623,2,182.08439832
Oc1ccc(cc1)/N=N/c1ccccc1,"InChI=1S/C12H10N2O/c15-12-8-6-11(7-9-12)14-13-10-4-2-1-3-5-10/h1-9,15H/b14-13+",-3.343,-6.6364,-10.300478698187613,2,198.07931294
c1ccccc1Oc1ccccc1,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,-3.976,-1.6478,-2.6435887616012437,2,170.07316494
Oc1ccccc1-c1ccccc1,"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H",-2.386,-2.699,-6.241030361948462,1,170.07316494
CC(C)(C#C)NC(=O)c1cc(Cl)cc(Cl)c1,"InChI=1S/C12H11Cl2NO/c1-4-12(2,3)15-11(16)8-5-9(13)7-10(14)6-8/h1,5-7H,2-3H3,(H,15,16)",-4.232,-6.3615,-8.715190844695215,2,255.021769332
c1ccccc1Nc1ccccc1,"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H",-3.504,-3.1739,-5.365097190214669,2,169.089149352
Nc1ccc(cc1)/N=N/c1ccccc1,"InChI=1S/C12H11N3/c13-10-6-8-12(9-7-10)15-14-11-4-2-1-3-5-11/h1-9H,13H2/b15-14+",-3.181,-5.8539,-9.455327814871147,2,197.095297352
CNC(=O)Oc1cccc2ccccc21,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",-3.387,-5.8665,-9.191907700715781,1,201.078978592
Cc1occc1C(=O)Nc1ccccc1,"InChI=1S/C12H11NO2/c1-9-11(7-8-15-9)12(14)13-10-5-3-2-4-6-10/h2-8H,1H3,(H,13,14)",-3.304,-6.8239,-10.608982606440923,2,201.078978592
CCc1cccc2ccccc21,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3",-4.164,-1.5988,-2.320783347667317,1,156.093900384
CCc1cc2ccccc2cc1,"InChI=1S/C12H12/c1-2-10-7-8-11-5-3-4-6-12(11)9-10/h3-9H,2H2,1H3",-4.29,-1.4999,-2.0144587164700996,1,156.093900384
Cc1cc2ccc(C)cc2cc1,"InChI=1S/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3",-4.893,-2.3665,-2.3734946114615894,0,156.093900384
Cc1cccc2c1cccc2C,"InChI=1S/C12H12/c1-9-5-3-8-12-10(2)6-4-7-11(9)12/h3-8H,1-2H3",-4.756,-2.301,-2.470881054905793,0,156.093900384
Cc1cc2ccccc2c(C)c1,"InChI=1S/C12H12/c1-9-7-10(2)12-6-4-3-5-11(12)8-9/h3-8H,1-2H3",-4.291,-1.6345,-2.1964283506539504,0,156.093900384
Cc1cc2ccccc2cc1C,"InChI=1S/C12H12/c1-9-7-11-5-3-4-6-12(11)8-10(9)2/h3-8H,1-2H3",-4.895,-2.9586,-3.1772392307122703,0,156.093900384
Cc1ccc(C)c2ccccc12,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3",-4.137,-1.6696,-2.453991657721064,0,156.093900384
CCCN(CCCl)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C12H13ClF3N3O4/c1-2-4-17(5-3-13)11-9(18(20)21)6-8(12(14,15)16)7-10(11)19(22)23/h6-7H,2-5H2,1H3",-4.551,-4.5229,-5.776435734552415,7,355.054668236
CC1OCCSC=1C(=O)Nc1ccccc1,"InChI=1S/C12H13NO2S/c1-9-11(16-8-7-15-9)12(14)13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,13,14)",-3.141,-6.8239,-10.830996456530503,2,235.066699656
CC1OCCS(=O)(=O)C=1C(=O)Nc1ccccc1,"InChI=1S/C12H13NO4S/c1-9-11(18(15,16)8-7-17-9)12(14)13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,13,14)",-2.427,-7.3768,-12.556575270508956,2,267.05652889600003
CCOP(=O)(OC(=CCl)c1ccc(Cl)cc1Cl)OCC,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3",-3.462,-5.1249,-8.079659173211793,7,357.96952859799995
CCOC(=O)c1ccccc1C(=O)OCC,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",-2.313,-2.6778,-6.311584456639506,4,222.089208928
CCOP(=S)(Oc1c[n]c2ccccc2[n]1)OCC,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-12-9-13-10-7-5-6-8-11(10)14-12/h5-9H,3-4H2,1-2H3",-4.132,-5.585,-7.793765264415457,6,298.05409997
CCOP(=S)(O/N=C(\C#N)/c1ccccc1)OCC,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-14-12(10-13)11-8-6-5-7-9-11/h5-9H,3-4H2,1-2H3/b14-12+",-4.63,-4.8013,-6.048028137668135,7,298.05409997000004
CC1(C)Cc2cccc(OC(=O)NC)c2O1,"InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)",-2.84,-5.3143,-9.184825050283477,1,221.10519334
CCN(CC)C(=O)SCc1ccc(Cl)cc1,"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-5-7-11(13)8-6-10/h5-8H,3-4,9H2,1-2H3",-3.964,-4.6576,-6.7594258916668295,4,257.064112812
CCOP(=S)(Oc1[n][n](c[n]1)-c1ccccc1)OCC,"InChI=1S/C12H16N3O3PS/c1-3-16-19(20,17-4-2)18-12-13-10-15(14-12)11-8-6-5-7-9-11/h5-10H,3-4H2,1-2H3",-4.102,-5.5376,-7.770065626430434,7,313.064999002
CCOP(=S)(OCC)SCN1N=Nc2ccccc2C1=O,"InChI=1S/C12H16N3O3PS2/c1-3-17-19(20,18-4-2)21-9-15-12(16)10-7-5-6-8-11(10)13-14-15/h5-8H,3-4,9H2,1-2H3",-4.517,-5.6198,-7.316775998762875,7,345.03707000199995
CCC(C)c1ccccc1OC(=O)NC,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)",-2.497,-3.8462,-7.652384665401357,3,207.125928784
Cc1cc(cc(c1)OC(=O)NC)C(C)C,"InChI=1S/C12H17NO2/c1-8(2)10-5-9(3)6-11(7-10)15-12(14)13-4/h5-8H,1-4H3,(H,13,14)",-3.357,-4.5229,-7.402721237662583,2,207.125928784
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,"InChI=1S/C12H17O4PS2/c1-4-16-12(13)11(10-8-6-5-7-9-10)19-17(18,14-2)15-3/h5-9,11H,4H2,1-3H3",-3.205,-5.585,-9.056383908789932,7,320.030587654
CCCCCCc1ccccc1,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",-5.255,-0.9187,0.0915401486127674,5,162.140850576
Cc1c(C)c(C)c(C)c(C)c1C,InChI=1S/C12H18/c1-7-8(2)10(4)12(6)11(5)9(7)3/h1-6H3,-5.839,-3.0655,-2.0370687159270746,0,162.140850576
CN(C)C(=O)Nc1ccc(cc1)C(C)C,"InChI=1S/C12H18N2O/c1-9(2)10-5-7-11(8-6-10)13-12(15)14(3)4/h5-9H,1-4H3,(H,13,15)",-3.536,-7.6073,-11.36001596189733,2,206.141913196
CC(C)OC(=O)C(=C1SCCS1)C(=O)OC(C)C,"InChI=1S/C12H18O4S2/c1-7(2)15-10(13)9(11(14)16-8(3)4)12-17-5-6-18-12/h7-8H,5-6H2,1-4H3",-3.782,-1.8447,-3.1760133873682164,4,290.064651056
CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,"InChI=1S/C12H20O7/c1-4-17-9(13)7-12(16,11(15)19-6-3)8-10(14)18-5-2/h16H,4-8H2,1-3H3",-0.603,-3.163,-9.301552577600512,8,276.12090298000004
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",-3.881,-4.0453,-6.038493800547724,7,304.101050162
CCCCCCCCCCCC(O)=O,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",-3.561,-4.7953,-7.495885331810605,10,200.177630008
CCCCCCCCCCCC,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",-6.41,-0.8697,1.731446133323525,9,170.203450832
CCCCCCCCCCCCO,"InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3",-4.668,-3.0716,-3.64033560513225,10,186.198365452
CCCCOCCOCCOCCCC,"InChI=1S/C12H26O3/c1-3-5-7-13-9-11-15-12-10-14-8-6-4-2/h3-12H2,1-2H3",-1.862,-1.584,-5.4360598993537295,12,218.188194692
CCCCN(CCCC)CCCC,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",-3.116,-1.0297,-2.9730682115194593,9,185.21434986399998
CCCCOP(=O)(OCCCC)OCCCC,"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",-2.978,-2.9469,-5.772349590072238,12,266.164695974
CCCCSP(=O)(SCCCC)SCCCC,"InChI=1S/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3",-5.634,-5.2757,-5.326687432101011,12,314.09616511400003
Clc1cc2Oc3c(Oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,InChI=1S/C12H2Cl6O2/c13-3-1-5-6(2-4(3)14)20-12-10(18)8(16)7(15)9(17)11(12)19-5/h1-2H,-10.949,-10.4168,-5.089827257066792,0,387.818595384
