SMILES,InChI,LogS,LogVP,Sol,RB,MW
Clc1cc(Cl)c(cc1)-c1ccc(Cl)cc1Cl,InChI=1S/C12H6Cl4/c13-7-1-3-9(11(15)5-7)10-4-2-8(14)6-12(10)16/h1-6H,-6.732,-4.064,-2.180764796813273,1,289.922360912
Clc1cc(Cl)ccc1-c1cc(Cl)ccc1Cl,InChI=1S/C12H6Cl4/c13-7-2-4-11(15)10(5-7)9-3-1-8(14)6-12(9)16/h1-6H,-6.573,-5.0716,-3.769730180337833,1,289.922360912
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1,InChI=1S/C12H6Cl4/c13-8-2-3-9(11(15)6-8)7-1-4-10(14)12(16)5-7/h1-6H,-6.9,-4.335,-2.321055757299327,1,289.922360912
Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,InChI=1S/C12H6Cl4/c13-8-2-4-10(14)9(6-8)7-1-3-11(15)12(16)5-7/h1-6H,-6.853,-4.3893,-2.459031235913282,1,289.922360912
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1,InChI=1S/C12H6Cl4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,-8.71,-4.7849,-0.46853405480339716,1,289.922360912
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,InChI=1S/C12H6Cl4/c13-9-5-1-3-7(11(9)15)8-4-2-6-10(14)12(8)16/h1-6H,-7.272,-4.1337,-1.5401935471376362,1,289.922360912
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,InChI=1S/C12H6Cl4/c13-9-6-8(7-4-2-1-3-5-7)10(14)12(16)11(9)15/h1-6H,-7.319,-4.426,-1.8743039608000518,1,289.922360912
Clc1cc(ccc1Cl)-c1ccccc1Cl,InChI=1S/C12H7Cl3/c13-10-4-2-1-3-9(10)8-5-6-11(14)12(15)7-8/h1-7H,-6.287,-3.9872,-2.682270929346914,1,255.961333264
Clc1cc(-c2ccccc2)c(Cl)cc1Cl,InChI=1S/C12H7Cl3/c13-10-7-12(15)11(14)6-9(10)8-4-2-1-3-5-8/h1-7H,-6.199,-3.011,-1.4724997535827147,1,255.961333264
Clc1cc(-c2ccccc2Cl)c(Cl)cc1,InChI=1S/C12H7Cl3/c13-8-5-6-12(15)10(7-8)9-3-1-2-4-11(9)14/h1-7H,-5.809,-2.9788,-1.959840585251743,1,255.961333264
Clc1cc(Cl)ccc1-c1ccc(Cl)cc1,InChI=1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-6-5-10(14)7-12(11)15/h1-7H,-5.979,-3.71,-2.724222012676722,1,255.961333264
Clc1ccc(Cl)cc1-c1ccc(Cl)cc1,InChI=1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-7-10(14)5-6-12(11)15/h1-7H,-6.256,-3.3979,-1.9218394415861015,1,255.961333264
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,InChI=1S/C12H7Cl3/c13-9-6-10(14)12(11(15)7-9)8-4-2-1-3-5-8/h1-7H,-6.009,-3.1451,-1.9139395622577613,1,255.961333264
Clc1cc2Oc3ccccc3Oc2cc1,InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H,-5.836,-4.8928,-4.530025463282637,0,218.013457144
c1ccc2C=Cc3cccc1c32,InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H,-3.976,-2.1752,-3.3619329612162376,0,152.062600256
Clc1cc(Cl)c(cc1)-c1ccccc1,InChI=1S/C12H8Cl2/c13-10-6-7-11(12(14)8-10)9-4-2-1-3-5-9/h1-8H,-5.288,-2.8601,-2.507792560043383,1,222.000305616
Clc1cc(-c2ccccc2)c(Cl)cc1,InChI=1S/C12H8Cl2/c13-10-6-7-12(14)11(8-10)9-4-2-1-3-5-9/h1-8H,-5.299,-2.8601,-2.4928100302827376,1,222.000305616
Clc1ccc(cc1)-c1ccccc1Cl,InChI=1S/C12H8Cl2/c13-10-7-5-9(6-8-10)11-3-1-2-4-12(11)14/h1-8H,-5.28,-2.6792,-2.2722944331692227,1,222.000305616
Clc1cc(ccc1)-c1cc(Cl)ccc1,InChI=1S/C12H8Cl2/c13-11-5-1-3-9(7-11)10-4-2-6-12(14)8-10/h1-8H,-5.798,-3.1878,-2.259491180464671,1,222.000305616
Clc1ccc(cc1)-c1ccc(Cl)cc1,InChI=1S/C12H8Cl2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,-6.556,-3.2716,-1.3411983109530505,1,222.000305616
Clc1ccccc1-c1ccccc1Cl,InChI=1S/C12H8Cl2/c13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14/h1-8H,-5.081,-2.5607,-2.3819393100539545,1,222.000305616
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|","InChI=1S/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2/t4-,5+,6+,7-,10+,11-",-7.332,-3.9208,-1.1684906042576,0,361.875716336
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|","InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6-,7+,10+,11-",-6.237,-5.3764,-4.642530641303492,0,377.870630956
c1cccc2oc3ccccc3c21,InChI=1S/C12H8O/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,-4.734,-2.6055,-2.9155897791649803,0,168.057514876
c1cccc2Oc3ccccc3Oc21,InChI=1S/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-5.311,-3.3846,-3.190859712312856,0,184.052429496
c1cccc2[s]c3ccccc3c21,InChI=1S/C12H8S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,-5.098,-3.6882,-3.8944937917992175,0,184.034671256
Brc1ccc(cc1)-c1ccccc1,InChI=1S/C12H9Br/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,-5.553,-2.6289,-1.8319442630222238,1,231.988762388
Clc1cc(ccc1)-c1ccccc1,InChI=1S/C12H9Cl/c13-12-8-4-7-11(9-12)10-5-2-1-3-6-10/h1-9H,-4.716,-2.134,-2.2979009385783282,1,188.039277968
Clc1ccc(cc1)-c1ccccc1,InChI=1S/C12H9Cl/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,-5.149,-1.9788,-1.496744210831762,1,188.039277968
Clc1ccccc1-c1ccccc1,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,-4.592,-2.8601,-3.455778079444287,1,188.039277968
Nc1c(Cl)c(ccc1[N+]([O-])=O)Oc1ccccc1,"InChI=1S/C12H9ClN2O3/c13-11-10(18-8-4-2-1-3-5-8)7-6-9(12(11)14)15(16)17/h1-7H,14H2",-5.025,-6.9208,-8.396880189689478,3,264.030169828
Clc1ccc(cc1)Oc1ccccc1,InChI=1S/C12H9ClO/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9H,-4.793,-2.5686,-2.7849693606153436,2,204.034192588
c1cccc2[nH]c3ccccc3c21,"InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H",-4.968,-6.1249,-7.3904628042220555,0,167.073499288
[O-][N+](=O)c1cc(ccc1Nc1ccccc1)[N+]([O-])=O,"InChI=1S/C12H9N3O4/c16-14(17)10-6-7-11(12(8-10)15(18)19)13-9-4-2-1-3-5-9/h1-8,13H",-3.834,-8.5229,-12.201216905549623,4,259.059305768
Clc1cc2Oc3c(Oc2c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,InChI=1S/C12HCl7O2/c13-2-1-3-10(7(17)4(2)14)21-12-9(19)6(16)5(15)8(18)11(12)20-3/h1H,-11.248,-10.18835,-4.371414955043793,0,421.779623032
C1c2ccccc2-c2ccccc21,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",-4.944,-3.2218,-3.468989946596858,0,166.07825032
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,"InChI=1S/C13H10BrCl2O2PS/c1-17-19(20,9-5-3-2-4-6-9)18-13-8-11(15)10(14)7-12(13)16/h2-8H,1H3",-7.138,-7.6383,-6.496141982327468,4,409.86995464999995
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,"InChI=1S/C13H10Cl2O2/c14-10-1-3-12(16)8(6-10)5-9-7-11(15)2-4-13(9)17/h1-4,6-7,16-17H,5H2",-3.953,-10.011,-14.065997041486082,2,268.00578492
O=C(c1ccccc1)c1ccccc1,InChI=1S/C13H10O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,-3.124,-2.7144,-5.256814361489996,2,182.07316494
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,"InChI=1S/C13H11Cl2NO2/c1-12-6-13(12,2)11(18)16(10(12)17)9-4-7(14)3-8(15)5-9/h3-5H,6H2,1-2H3",-4.8,-3.8539,-4.5260755236184655,1,283.016683952
Oc1ccc(Cl)cc1Cc1ccccc1,"InChI=1S/C13H11ClO/c14-12-6-7-13(15)11(9-12)8-10-4-2-1-3-5-10/h1-7,9,15H,8H2",-3.167,-5.8539,-9.474396489111971,2,218.049842652
C(c1ccccc1)c1ccccc1,"InChI=1S/C13H12/c1-3-7-12(8-4-1)11-13-9-5-2-6-10-13/h1-10H,11H2",-4.077,-2.0857,-3.1024627867250434,2,168.093900384
OC(c1ccccc1)c1ccccc1,"InChI=1S/C13H12O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,13-14H",-2.549,-4.5638,-8.558963920736472,2,184.088815004
CC(C)c1cc2ccccc2cc1,"InChI=1S/C13H14/c1-10(2)12-8-7-11-5-3-4-6-13(11)9-12/h3-10H,1-2H3",-5.298,-2.2857,-1.7118116153050404,1,170.109550448
CC(=C)CN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C13H14F3N3O4/c1-4-17(7-8(2)3)12-10(18(20)21)5-9(13(14,15)16)6-11(12)19(22)23/h5-6H,2,4,7H2,1,3H3",-6.222,-4.0565,-2.8651939972428044,6,333.09364058799997
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",-6.048,-4.3391,-3.48710518712564,7,335.10929065199997
CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",-6.525,-4.1851,-2.627652798128555,7,335.10929065199997
CCCN(CCC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C13H17F3N4O4/c1-3-5-18(6-4-2)11-9(19(21)22)7-8(13(14,15)16)10(17)12(11)20(23)24/h7H,3-6,17H2,1-2H3",-7.43,-7.6055,-6.053748739940381,7,350.12018968399997
COCCN(C(=O)CCl)c1c(C)cccc1C,"InChI=1S/C13H18ClNO2/c1-10-5-4-6-11(2)13(10)15(7-8-17-3)12(16)9-14/h4-6H,7-9H2,1-3H3",-2.086,-4.9469,-9.711392868962196,5,255.102606496
CCOC1Oc2ccc(cc2C1(C)C)OS(C)(=O)=O,"InChI=1S/C13H18O5S/c1-5-16-12-13(2,3)10-8-9(18-19(4,14)15)6-7-11(10)17-12/h6-8,12H,5H2,1-4H3",-3.416,-5.3098,-8.394156093369363,4,286.087494676
Cc1c(c(NC(CC)CC)c(cc1C)[N+]([O-])=O)[N+]([O-])=O,"InChI=1S/C13H19N3O4/c1-5-10(6-2)14-12-11(15(17)18)7-8(3)9(4)13(12)16(19)20/h7,10,14H,5-6H2,1-4H3",-5.972,-4.5229,-3.840965299108905,6,281.137556088
CS(=O)(=O)c1cc(c(c(c1)[N+]([O-])=O)N(CCC)CCC)[N+]([O-])=O,"InChI=1S/C13H19N3O6S/c1-4-6-14(7-5-2)13-11(15(17)18)8-10(23(3,21)22)9-12(13)16(19)20/h8-9H,4-7H2,1-3H3",-5.76,-8.0315,-8.908601683423559,8,345.099456328
Cc1ccc(c(c1)OP(=S)(NC(C)CC)OCC)[N+]([O-])=O,"InChI=1S/C13H21N2O4PS/c1-5-11(4)14-20(21,18-6-2)19-13-9-10(3)7-8-12(13)15(16)17/h7-9,11H,5-6H2,1-4H3,(H,14,21)",-4.814,-3.2007,-3.617316991227257,8,332.09596478199995
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,"InChI=1S/C13H21O3PS/c1-11(2)15-17(14,16-12(3)4)18-10-13-8-6-5-7-9-13/h5-9,11-12H,10H2,1-4H3",-2.858,-4.3925,-7.904772189460246,7,288.09490216200004
CSc1ccc(cc1)OP(=O)(OCCC)OCCC,"InChI=1S/C13H21O4PS/c1-4-10-15-18(14,16-11-5-2)17-12-6-8-13(19-3)9-7-12/h6-9H,4-5,10-11H2,1-3H3",-3.386,-6.0458,-9.437484983974377,9,304.08981678200007
Cc1cc(ccc1SC)OP(=O)(NC(C)C)OCC,"InChI=1S/C13H22NO3PS/c1-6-16-18(15,14-10(2)3)17-12-7-8-13(19-5)11(4)9-12/h7-10H,6H2,1-5H3,(H,14,15)",-2.965,-6.0,-9.948525453628427,7,303.105801194
Cc1cc([n]c([n]1)N(CC)CC)OP(=S)(OCC)OCC,"InChI=1S/C13H24N3O3PS/c1-6-16(7-2)13-14-11(5)10-12(15-13)19-20(21,17-8-3)18-9-4/h10H,6-9H2,1-5H3",-4.924,-3.5376,-3.9263657187445906,9,333.127599258
CCCCCCCCCCCCC(O)=O,"InChI=1S/C13H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13(14)15/h2-12H2,1H3,(H,14,15)",-3.813,-4.8996,-7.294710818569924,11,214.193280072
[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,"InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)",-4.702,-10.8268,-14.156981858578009,3,325.986112096
COc1cc(ccc1[N+]([O-])=O)Oc1ccc(Cl)cc1Cl,"InChI=1S/C13H9Cl2NO4/c1-19-13-7-9(3-4-11(13)16(17)18)20-12-5-2-8(14)6-10(12)15/h2-7H,1H3",-6.02,-4.8539,-4.226424928405539,4,312.99086312800006
c1cccc2c3ccc[n]c3ccc21,InChI=1S/C13H9N/c1-2-5-11-10(4-1)7-8-13-12(11)6-3-9-14-13/h1-9H,-3.357,-4.2518,-7.033469981470651,0,179.073499288
c1[n]c2ccccc2c2ccccc21,InChI=1S/C13H9N/c1-2-6-11-10(5-1)9-14-13-8-4-3-7-12(11)13/h1-9H,-2.776,-4.6821,-8.410909285738086,0,179.073499288
c1c2ccccc2[n]c2ccccc21,InChI=1S/C13H9N/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)14-12/h1-9H,-3.669,-3.8697,-6.088072353573861,0,179.073499288
c1c2ccccc2cc2ccccc21,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-6.614,-5.1851,-3.8684786719420945,0,178.07825032
c1cc2ccccc2c2ccccc21,InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,-5.19,-3.9172,-4.081094389727267,0,178.07825032
ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1,"InChI=1S/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H",-6.505,-5.7122,-4.734877506555476,3,317.95366104
ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",-6.551,-5.8697,-4.8867458764020295,3,317.95366104
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,"InChI=1S/C14H10N2O2/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6H,15-16H2",-5.859,-9.699,-11.044974222475735,0,238.07422756
Cc1cccc2c1Cc1ccccc-21,"InChI=1S/C14H12/c1-10-5-4-8-13-12-7-3-2-6-11(12)9-14(10)13/h2-8H,9H2,1H3",-5.218,-3.5229,-3.5059014517344504,0,180.093900384
C=C(c1ccccc1)c1ccccc1,"InChI=1S/C14H12/c1-12(13-8-4-2-5-9-13)14-10-6-3-7-11-14/h2-11H,1H2",-4.436,-1.8827,-2.3369917207720166,2,180.093900384
c1ccccc1/C=C/c1ccccc1,InChI=1S/C14H12/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-12H/b12-11+,-5.793,-2.60935,-1.4784246630789706,2,180.093900384
OC(C(=O)c1ccccc1)c1ccccc1,"InChI=1S/C14H12O2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10,13,15H",-2.85,-5.2781,-9.12189842528876,3,212.083729624
C(Cc1ccccc1)c1ccccc1,"InChI=1S/C14H14/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-10H,11-12H2",-4.627,-2.138,-2.424571417463794,3,182.109550448
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)c1ccccc1,"InChI=1S/C14H14NO4PS/c1-2-18-20(21,14-6-4-3-5-7-14)19-13-10-8-12(9-11-13)15(16)17/h3-11H,2H2,1H3",-5.017,-6.0223,-7.183976303157147,6,323.038115558
C(OCc1ccccc1)c1ccccc1,"InChI=1S/C14H14O/c1-3-7-13(8-4-1)11-15-12-14-9-5-2-6-10-14/h1-10H,11-12H2",-3.695,-2.9872,-4.850651600160472,4,198.104465068
CN(C)c1ccc(cc1)N=Nc1ccccc1,"InChI=1S/C14H15N3/c1-17(2)14-10-8-13(9-11-14)16-15-12-6-4-3-5-7-12/h3-11H,1-2H3",-5.991,-7.1549,-7.399997141342467,3,225.12659748
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,"InChI=1S/C14H15O2PS2/c1-2-16-17(15,18-13-9-5-3-6-10-13)19-14-11-7-4-8-12-14/h3-12H,2H2,1H3",-3.331,-6.5686,-10.224476410856333,6,310.02510835000004
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1,"InChI=1S/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3",-3.614,-7.8239,-11.548795836881473,4,293.093104432
CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,"InChI=1S/C14H16ClO5PS/c1-4-17-21(22,18-5-2)20-10-6-7-11-9(3)13(15)14(16)19-12(11)8-10/h6-8H,4-5H2,1-3H3",-5.384,-7.0132,-8.033758150217812,6,362.0144589219999
CCCN(CC1CC1)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,"InChI=1S/C14H16F3N3O4/c1-2-5-18(8-9-3-4-9)13-11(19(21)22)6-10(14(15,16)17)7-12(13)20(23)24/h6-7,9H,2-5,8H2,1H3",-6.541,-4.2007,-2.627107978864533,7,347.10929065199997
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,"InChI=1S/C14H17ClNO4PS2/c1-3-19-21(22,20-4-2)23-12(9-15)16-13(17)10-7-5-6-8-11(10)14(16)18/h5-8,12H,3-4,9H2,1-2H3",-6.34,-7.2076,-6.996422271517053,8,393.00251433399995
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1,"InChI=1S/C14H18ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,12-13,19H,1-3H3",-3.392,-9.5086,-14.145813063665527,4,295.108754496
CCCCNC(=O)[n]1c(NC(=O)OC)[n]c2ccccc12,"InChI=1S/C14H18N4O3/c1-3-4-9-15-13(19)18-11-8-6-5-7-10(11)16-12(18)17-14(20)21-2/h5-8H,3-4,9H2,1-2H3,(H,15,19)(H,16,17,20)",-4.883,-8.4318,-10.648345798266622,4,290.13789043599996
CCCOC(=O)c1ccccc1C(=O)OCCC,"InChI=1S/C14H18O4/c1-3-9-17-13(15)11-7-5-6-8-12(11)14(16)18-10-4-2/h5-8H,3-4,9-10H2,1-2H3",-3.365,-3.8794,-6.515346861384298,6,250.120509056
C/C(=C\C(=O)OC(C)c1ccccc1)/OP(=O)(OC)OC,"InChI=1S/C14H19O6P/c1-11(20-21(16,17-3)18-4)10-14(15)19-12(2)13-8-6-5-7-9-13/h5-10,12H,1-4H3/b11-10+",-2.497,-4.8539,-9.024920596292578,7,314.091924958
CC1CCCCC1NC(=O)Nc1ccccc1,"InChI=1S/C14H20N2O/c1-11-7-5-6-10-13(11)16-14(17)15-12-8-3-2-4-9-12/h2-4,8-9,11,13H,5-7,10H2,1H3,(H2,15,16,17)",-4.111,-8.3979,-11.653673545206,2,232.15756326
CCC(C)Nc1c(cc(cc1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,"InChI=1S/C14H21N3O4/c1-6-9(2)15-13-11(16(18)19)7-10(14(3,4)5)8-12(13)17(20)21/h7-9,15H,6H2,1-5H3",-5.47,-4.8962,-5.033166053608347,5,295.153206152
CCCCCCCCc1ccccc1,"InChI=1S/C14H22/c1-2-3-4-5-6-8-11-14-12-9-7-10-13-14/h7,9-10,12-13H,2-6,8,11H2,1H3",-6.46,-1.9462,0.3333036970231998,7,190.172150704
CCOC(=O)CCCCCCCCC(=O)OCC,"InChI=1S/C14H26O4/c1-3-17-13(15)11-9-7-5-6-8-10-12-14(16)18-4-2/h3-12H2,1-2H3",-3.51,-3.2941,-5.52064309009338,11,258.183109312
CC1CCCCN1C(=O)CSP(=S)(OCCC)OCCC,"InChI=1S/C14H28NO3PS2/c1-4-10-17-19(20,18-11-5-2)21-12-14(16)15-9-7-6-8-13(15)3/h13H,4-12H2,1-3H3",-4.15,-6.6198,-9.178695833563213,9,353.12482238599995
CCCCCCCCCCCCCC(O)=O,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",-5.329,-5.8539,-6.529648367064915,12,228.208930136
CCCCCCCCCCCCCC,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",-7.456,-1.9355,1.7044775797543605,11,198.23475095999999
CCCCCCCCCCCCCCO,"InChI=1S/C14H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h15H,2-14H2,1H3",-5.854,-3.9586,-3.2330832052746783,12,214.22966558000002
O=C(Nc1cc(Cl)c(F)c(Cl)c1F)NC(=O)c1c(F)cccc1F,"InChI=1S/C14H6Cl2F4N2O2/c15-5-4-8(12(20)10(16)11(5)19)21-14(24)22-13(23)9-6(17)2-1-3-7(9)18/h1-4H,(H2,21,22,23,24)",-7.28,-11.2218,-11.183630725169719,2,379.974245672
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,InChI=1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,-6.9,-5.2218,-3.528920065639442,2,315.938010976
O=C1c2ccccc2C(=O)c2ccccc12,InChI=1S/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H,-5.188,-6.9355,-8.194888447552763,0,208.052429496
Oc1ccc2c(C(=O)c3ccccc3C2=O)c1O,"InChI=1S/C14H8O4/c15-10-6-5-9-11(14(10)18)13(17)8-4-2-1-3-7(8)12(9)16/h1-6,15,18H",-2.779,-9.0577,-14.366601070411054,0,240.042258736
COC(=O)c1cc(ccc1[N+]([O-])=O)Oc1ccc(Cl)cc1Cl,"InChI=1S/C14H9Cl2NO5/c1-21-14(18)10-7-9(3-4-12(10)17(19)20)22-13-5-2-8(15)6-11(13)16/h2-7H,1H3",-5.934,-7.0,-7.2666526264727125,4,340.98577774800003
Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl,"InChI=1S/C14H9Cl5/c15-10-7-5-9(6-8-10)13(14(17,18)19)11-3-1-2-4-12(11)16/h1-8,13H",-6.62,-5.8697,-4.792764553357975,2,351.914688688
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",-7.809,-6.7959,-4.43481829689453,2,351.914688688
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,"InChI=1S/C14H9Cl5O/c15-11-5-1-9(2-6-11)13(20,14(17,18)19)10-3-7-12(16)8-4-10/h1-8,20H",-5.448,-6.4001,-7.111515341042019,2,367.909603308
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,"InChI=1S/C14H9ClF2N2O2/c15-8-4-6-9(7-5-8)18-14(21)19-13(20)12-10(16)2-1-3-11(12)17/h1-7H,(H2,18,19,20,21)",-6.015,-9.0458,-9.94280485135618,2,310.032061648
CCOc1cc(ccc1[N+]([O-])=O)Oc1ccc(cc1Cl)C(F)(F)F,"InChI=1S/C15H11ClF3NO4/c1-2-23-14-8-10(4-5-12(14)20(21)22)24-13-6-3-9(7-11(13)16)15(17,18)19/h3-8H,2H2,1H3",-6.558,-6.699,-6.006758078418352,5,361.03287017200006
Cc1c2ccccc2cc2ccccc21,"InChI=1S/C15H12/c1-11-14-8-4-2-6-12(14)10-13-7-3-5-9-15(11)13/h2-10H,1H3",-5.867,-4.3979,-3.813724335907731,0,192.093900384
Cc1cccc2c3ccccc3ccc21,"InChI=1S/C15H12/c1-11-5-4-8-15-13(11)10-9-12-6-2-3-7-14(12)15/h2-10H,1H3",-5.854,-4.8239,-4.41166347817353,0,192.093900384
Cc1cc2cc3ccccc3cc2cc1,"InChI=1S/C15H12/c1-11-6-7-14-9-12-4-2-3-5-13(12)10-15(14)8-11/h2-10H,1H3",-6.956,-5.2725,-3.5217012103911296,0,192.093900384
CN(C)C(=O)Nc1ccc(cc1)Oc1ccc(Cl)cc1,"InChI=1S/C15H15ClN2O2/c1-18(2)15(19)17-12-5-9-14(10-6-12)20-13-7-3-11(16)4-8-13/h3-10H,1-2H3,(H,17,19)",-4.895,-8.4089,-10.60081031748057,3,290.0822054
Cc1cc(/N=N/c2ccc(cc2)NC(C)=O)c(O)cc1,"InChI=1S/C15H15N3O2/c1-10-3-8-15(20)14(9-10)18-17-13-6-4-12(5-7-13)16-11(2)19/h3-9,20H,1-2H3,(H,16,19)/b18-17+",-5.358,-10.301,-12.547313343020557,3,269.11642672
